Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B2436,SYPHON CANAL AT KRANTZ,Bridge,Bridge,1/7/2002,TR01105,48.03,,8.1,21.7,1,Simply supported,1/1/1960
B2491A,OLIFANTS RIVER,Bridge,Bridge,11/8/2019,TR01601+,0.91,Matzikama,251.6,10.38,20,Simply supported,1/1/1958
B2492,DROE RIVER,Bridge,Bridge,11/7/2019,TR01601+,21.7,Matzikama,19,6.8,2,Simply supported,1/1/1943
B2493,DROE RIVER,Bridge,Bridge,11/7/2019,TR01602+,8.93,Matzikama,21,9.5,3,Continuous,1/1/1958
B2514,BRIDGE OVER TOWERWATER RIVER,Bridge,Bridge,11/11/2019,TR01610,10.58,Beaufort West,28.7,7.47,3,Simply supported,1/1/1953
B2515,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01610,26.12,Beaufort West,31.8,8.25,2,Simply supported,1/1/1960
B2516,BRIDGE OVER POORTJIES STREAM,Bridge,Bridge,11/11/2019,TR01610,30.98,Beaufort West,14.72,10.5,2,Simply supported,1/1/1962
B2566,WILGENHOUT RIVER NO 1,Bridge,Bridge,11/20/2019,TR02001,19.1,Laingsburg,32,10.3,3,Simply supported,1/1/1959
B2567,WILGENHOUT RIVER NO 2,Bridge,Bridge,11/21/2019,TR02001,20.92,Laingsburg,24.5,10.4,3,Simply supported,1/1/1960
B2568,WILGENHOUT RIVER NO 3,Bridge,Bridge,11/18/2019,TR02001,23.41,Laingsburg,16.5,10.3,2,Simply supported,1/1/1961
B2569,NUWERUS RIVER BRIDGE,Bridge,Bridge,11/19/2019,TR02001,29.66,Laingsburg,24.5,10.56,3,Simply supported,1/1/1961
B2574,KLEIN BERG RIVER AT UITKYK,Bridge,Bridge,11/15/2019,TR02201+,5.84,Witzenberg,38.6,10.5,3,Simply supported,1/1/1961
B2575,"DWARS RIVER AT CERES ""VAN BREDA BRIDGE""",Bridge,Bridge,11/7/2019,TR02201+,36.8,Witzenberg,95,12.2,7,Simply supported,1/1/1927
B2577A,SKAAP RIVER,Bridge,Bridge,11/7/2019,TR02202+,10.92,Witzenberg,20,12.4,2,Simply supported,1/1/1952
B2578,DORING RIVER,Bridge,Bridge,11/7/2019,TR02202+,40.58,Witzenberg,20,10.6,3,Simply supported,1/1/1966
